Table S2. Dual-mycorrhizal plants with confirmed occurrence of key mycorrhizal structures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Confirmed plant species with dual status,,,,,,,,,,,,,,,,,,,,,,,,,
Family,Genus,Woody (shrub or tree) taxa?,Estimated number of plant species1,Number of confirmed species,Spp1,Spp2,Spp3,Spp4,Spp5,Spp6,Spp7,Spp8,Spp9,Spp10,Spp11,Spp12,Spp13,Spp14,Spp15,Spp16,Spp17,Spp18,Spp19,Spp20,Spp21,Spp22,Spp23,Spp24,Spp25,
Adoxaceae,Viburnum,yes,199,1,Viburnum acerifolium,,,,,,,,,,,,,,,,,,,,,,,,,
Asparagaceae,Thysanotus,no,50,2,Thysanotus juncifolius,Thysanotus patersonii,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Gnephosis,no,17,1,Gnephosis tenuissima,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Leptorhynchos,no,11,2,Leptorhynchos squamatus,Leptorhynchos waitzia,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Millotia,no,17,1,Millotia muelleri,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Podotheca,no,8,1,Podotheca angustifolia,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Pogonolepis,no,2,1,Pogonolepis muelleriana,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Rutidosis,no,9,1,Rutidosis leptorhynchoides,,,,,,,,,,,,,,,,,,,,,,,,,
Asteropeiaceae,Asteropeia,yes,8,3,Asteropeia densiflora,Asteropeia micraster,Asteropeia multiflora,,,,,,,,,,,,,,,,,,,,,,,
Betulaceae,Alnus,yes,49,7,Alnus incana,Alnus rubra,Alnus sinuata,Alnus viridis,Alnus mandshurica,Alnus hirsuta,Alnus acuminata,,,,,,,,,,,,,,,,,,,
Betulaceae,Betula,yes,86,4,Betula lutea,Betula papyrifera,Betula populifolia,Betula pumila,,,,,,,,,,,,,,,,,,,,,,
